,game,total_reviews,rating,primary_genre,peak_players,avg_reviews
51894,Battle Snails,312,83.49,Action,111,2.810810810810811
56529,Duck Hunting,23,48.66,Simulation,1068,0.02153558052434457
4177,Sex and the Furry Titty 2: Sins of the City,444,85.02,Casual,219,2.0273972602739727
1631,The Cenozoic Era,322,68.69,Action,227,1.4185022026431717
59932,CrazyCars3D,213,63.73,Racing,1933,0.11019141231246767
63799,Wild Island Quest,309,51.46,Adventure,1820,0.1697802197802198
50355,Cereal Soup,721,45.04,RPG,153,4.712418300653595
32901,Xuan-Yuan Sword VII,9153,62.05,RPG,12320,0.7429383116883117
57651,VOI,733,87.73,Indie,1342,0.5461997019374069
27485,XIII - Classic,1884,85.98,Action,261,7.218390804597701
371,Nienix,201,81.15,Action,352,0.5710227272727273
53660,Looterkings,437,69.89,Indie,130,3.3615384615384616
64295,Alone in the Dark: Illumination,352,25.98,Action,115,3.0608695652173914
61738,Hyperdimension Neptunia Re;Birth1,11679,92.07,RPG,2281,5.12012275317843
36676,ACE COMBAT™ 7: SKIES UNKNOWN,33779,85.53,Simulation,13758,2.4552260502980086
9337,仙侠世界2,392,68.94,RPG,122,3.2131147540983607
55429,Stack,33,58.92,Casual,1741,0.018954623779437105
64607,DeadCore,1979,81.52,Action,273,7.249084249084249
43901,Donut County,7415,88.04,Indie,636,11.65880503144654
48,The Legend of Heroes: Trails to Azure,184,89.18,RPG,884,0.2081447963800905
16457,Vivid Knight,1477,86.62,Strategy,1749,0.8444825614636935
32694,Zefira,115,62.9,RPG,131,0.8778625954198473
